"","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop","country"
"215","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"belgium"
"216","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"belgium"
"217","Mistletoe","Justin Bieber","canadian pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"belgium"
"218","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",1994,"1969-12-31",142,26,65,-13,36,84,155,90,6,91,"belgium"
"219","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"belgium"
"220","White Christmas","Bing Crosby","adult standards",1942,"1969-12-31",131,16,32,-16,34,25,177,67,4,89,"belgium"
"221","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",1962,"1969-12-31",79,21,32,-15,14,21,192,92,3,89,"belgium"
"222","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",1959,"1969-12-31",134,24,45,-14,18,70,117,91,4,89,"belgium"
"223","Have Yourself A Merry Little Christmas","Sam Smith","pop",2014,"1969-12-31",75,18,44,-9,32,34,171,96,4,89,"belgium"
"224","Señorita","Shawn Mendes","canadian pop",2019,"1969-12-31",117,55,76,-6,8,75,191,4,3,89,"belgium"
"225","Underneath the Tree","Kelly Clarkson","dance pop",2013,"1969-12-31",160,81,51,-5,21,69,230,0,5,88,"belgium"
"226","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",1999,"1969-12-31",113,28,73,-12,12,72,156,76,6,88,"belgium"
"227","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",1994,"1969-12-31",127,78,57,-7,11,70,153,2,3,88,"belgium"
"228","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",1983,"1969-12-31",129,84,67,-4,11,84,126,61,3,88,"belgium"
"229","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,2004,"1969-12-31",115,64,60,-7,10,35,223,16,4,87,"belgium"
"230","Blue Christmas","Elvis Presley","adult standards",1957,"1969-12-31",95,27,47,-17,14,58,129,90,4,87,"belgium"
"231","Christmas Lights","Coldplay","permanent wave",2010,"1969-12-31",131,42,31,-9,8,24,242,13,3,87,"belgium"
"232","Santa Baby","Ariana Grande","dance pop",2013,"1969-12-31",96,78,75,-6,28,77,171,5,14,87,"belgium"
"233","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",1981,"1969-12-31",140,67,36,-8,73,41,268,36,5,86,"belgium"
"234","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",1988,"1969-12-31",119,65,32,-6,24,47,272,50,3,86,"belgium"
"235","Last Christmas","Wham!","new wave pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"belgium"
"236","Feliz Navidad","José Feliciano","latin pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"belgium"
"237","Santa Claus Is Coming To Town","The Jackson 5","adult standards",1970,"1969-12-31",147,76,69,-5,18,96,144,42,3,85,"belgium"
"238","It's Beginning to Look a Lot like Christmas","Michael Bublé","adult standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"belgium"
"239","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",1970,"1969-12-31",129,71,58,-8,82,61,181,26,5,84,"belgium"
"240","My Only Wish (This Year)","Britney Spears","dance pop",2019,"1969-12-31",147,73,67,-7,20,68,255,23,3,84,"belgium"
"241","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",1987,"1969-12-31",180,58,51,-11,18,87,242,36,4,83,"belgium"
"242","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",1998,"1969-12-31",140,37,67,-13,10,86,133,59,3,83,"belgium"
"243","Holly Jolly Christmas","Michael Bublé","adult standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"belgium"
"244","Christmas (Baby Please Come Home)","Darlene Love","adult standards",2019,"1969-12-31",126,76,34,-7,8,36,166,39,5,82,"belgium"
"245","Ne reviens pas","Gradur","french hip hop",2019,"1969-12-31",125,78,93,-3,17,93,189,21,6,78,"belgium"
"246","Sleigh Ride","The Ronettes","adult standards",2019,"1969-12-31",92,77,53,-7,32,85,181,40,3,77,"belgium"
"247","Santa Claus Is Coming to Town","Michael Bublé","adult standards",2011,"1969-12-31",123,40,59,-7,4,42,172,79,5,75,"belgium"
"248","Hoe Het Danst","Marco Borsato","dutch cabaret",2019,"1969-12-31",130,86,69,-3,19,42,253,6,5,75,"belgium"
"249","Merry Christmas Everyone","Shakin' Stevens","new wave pop",1997,"1969-12-31",102,71,76,-10,8,96,224,16,3,69,"belgium"
"250","This Christmas","Donny Hathaway","chicago soul",1971,"1969-12-31",93,65,63,-9,25,68,231,29,4,59,"belgium"
"251","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"bolivia"
"252","All I Want for Christmas Is You","Mariah Carey","dance pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"bolivia"
"253","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",2019,"1969-12-31",105,72,72,-7,24,67,222,3,7,97,"bolivia"
"254","Tusa","KAROL G","latin",2019,"1969-12-31",101,72,80,-3,6,57,201,30,30,96,"bolivia"
"255","Vete","Bad Bunny","latin",2019,"1969-12-31",92,67,89,-4,10,53,192,4,19,94,"bolivia"
"256","China","Anuel AA","latin",2019,"1969-12-31",105,81,79,-4,8,61,302,8,9,94,"bolivia"
"257","Fantasias","Rauw Alejandro","latin",2019,"1969-12-31",94,70,88,-4,6,79,200,14,7,93,"bolivia"
"258","LA CANCIÓN","J Balvin","latin",2019,"1969-12-31",176,65,75,-6,11,43,243,15,32,93,"bolivia"
"259","Callaita","Bad Bunny","latin",2019,"1969-12-31",176,62,61,-5,24,24,251,60,31,92,"bolivia"
"260","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",2019,"1969-12-31",80,84,73,-5,18,62,271,2,7,92,"bolivia"
"261","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"bolivia"
"262","Whine Up","Nicky Jam","latin",2019,"1969-12-31",105,67,82,-6,10,66,215,5,8,91,"bolivia"
"263","Que Tire Pa Lante","Daddy Yankee","latin",2019,"1969-12-31",94,90,66,-3,12,71,211,5,4,91,"bolivia"
"264","Tutu","Camilo","colombian pop",2019,"1969-12-31",146,83,73,-3,7,94,179,27,5,90,"bolivia"
"265","Si Te Vas","Sech","panamanian pop",2019,"1969-12-31",174,64,73,-4,14,55,205,9,13,90,"bolivia"
"266","Indeciso","Reik","latin",2019,"1969-12-31",95,75,74,-5,11,90,217,18,5,90,"bolivia"
"267","Quizas","Rich Music LTD","reggaeton",2019,"1969-12-31",176,82,73,-2,23,68,216,3,15,90,"bolivia"
"268","Aventura","Lunay","latin",2019,"1969-12-31",92,73,73,-3,10,88,217,22,4,90,"bolivia"
"269","Yo x Ti, Tu x Mi","ROSALÍA","r&b en espanol",2019,"1969-12-31",92,76,78,-3,14,58,201,46,23,90,"bolivia"
"270","Hola - Remix","Dalex","latin",2019,"1969-12-31",182,67,65,-6,8,34,250,47,31,89,"bolivia"
"271","Señorita","Shawn Mendes","canadian pop",2019,"1969-12-31",117,55,76,-6,8,75,191,4,3,89,"bolivia"
"272","No Me Conoce - Remix","Jhay Cortez","latin",2019,"1969-12-31",92,79,81,-4,9,58,309,14,7,88,"bolivia"
"273","0.95833333333333337","Maluma","latin",2019,"1969-12-31",96,71,78,-5,9,68,176,22,28,88,"bolivia"
"274","QUE PRETENDES","J Balvin","latin",2019,"1969-12-31",93,79,64,-4,36,94,222,3,25,88,"bolivia"
"275","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles","latin",2019,"1969-12-31",170,71,74,-4,8,83,259,5,9,88,"bolivia"
"276","Con Altura","ROSALÍA","r&b en espanol",2019,"1969-12-31",98,69,88,-4,5,75,162,39,12,88,"bolivia"
"277","Otro Trago - Remix","Sech","panamanian pop",2019,"1969-12-31",176,79,73,-2,6,76,288,7,20,88,"bolivia"
"278","Pa' Olvidarme De Ella","Piso 21","colombian pop",2019,"1969-12-31",90,54,73,-5,14,64,227,26,5,87,"bolivia"
"279","Bellaquita - Remix","Dalex","latin",2019,"1969-12-31",166,72,80,-4,18,76,305,14,8,87,"bolivia"
"280","Qué Pena","Maluma","latin",2019,"1969-12-31",126,66,64,-6,34,86,213,10,36,87,"bolivia"
"281","Blanco","J Balvin","latin",2019,"1969-12-31",100,71,87,-5,9,59,146,3,13,87,"bolivia"
"282","Pa Mí - Remix","Dalex","latin",2019,"1969-12-31",170,62,69,-8,16,73,361,75,22,86,"bolivia"
"283","Otro Trago","Sech","panamanian pop",2019,"1969-12-31",176,70,75,-5,11,62,226,14,34,86,"bolivia"
"284","Te Vi","Piso 21","colombian pop",2018,"1969-12-31",102,78,88,-4,9,71,232,4,12,85,"bolivia"
"285","Feliz Navidad","José Feliciano","latin pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"bolivia"
"286","Last Christmas","Wham!","new wave pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"bolivia"
"287","Que Mas Pues - Remix","Sech","panamanian pop",2019,"1969-12-31",113,66,65,-5,12,81,306,12,20,85,"bolivia"
"288","Bellaquita","Dalex","latin",2019,"1969-12-31",166,70,58,-4,17,77,205,9,11,85,"bolivia"
"289","Sigues Con El","Dimelo Flow","latin",2019,"1969-12-31",88,67,88,-3,7,68,227,11,11,83,"bolivia"
"290","Atrévete","Nicky Jam","latin",2019,"1969-12-31",184,68,55,-4,12,59,198,31,30,83,"bolivia"
"291","Loco","Beéle",NA,2019,"1969-12-31",105,56,82,-6,5,77,204,16,17,82,"bolivia"
"292","Amor a Primera Vista","Los Angeles Azules","grupera",2019,"1969-12-31",170,76,66,-6,41,95,221,32,6,81,"bolivia"
"293","Una Vida Para Recordar","Piso 21","colombian pop",2019,"1969-12-31",182,78,70,-3,12,48,215,7,20,81,"bolivia"
"294","Soltera - Remix","Lunay","latin",2019,"1969-12-31",92,78,80,-4,44,80,266,36,4,80,"bolivia"
"295","Tal Vez","Paulo Londra","argentine hip hop",2019,"1969-12-31",162,65,86,-2,8,74,264,25,15,80,"bolivia"
"296","Desconocidos","Mau y Ricky","latin",2019,"1969-12-31",174,75,72,-5,21,68,205,12,18,79,"bolivia"
"297","Nunca Es Suficiente","Los Angeles Azules","grupera",2018,"1969-12-31",94,50,80,-6,9,80,266,39,4,78,"bolivia"
"298","Detente","Mike Bahía","colombian pop",2019,"1969-12-31",172,59,74,-5,11,36,182,27,35,77,"bolivia"
"299","Adan y Eva","Paulo Londra","argentine hip hop",2019,"1969-12-31",172,71,77,-4,7,72,257,32,34,76,"bolivia"
"300","La Difícil","Camilo","colombian pop",2019,"1969-12-31",65,36,68,-7,16,55,159,67,11,71,"bolivia"
"301","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"brazil"
"302","Combatchy (feat. MC Rebecca)","Anitta","baile pop",2019,"1969-12-31",150,73,83,-3,2,61,158,38,8,86,"brazil"
"303","Surtada - Remix Brega Funk","Dadá Boladão","brega funk",2019,"1969-12-31",154,55,83,-7,18,88,153,25,6,86,"brazil"
"304","Supera - Ao Vivo","Marília Mendonça","sertanejo",2019,"1969-12-31",132,74,67,-4,96,66,148,6,6,85,"brazil"
"305","Cheirosa - Ao Vivo","Jorge & Mateus","sertanejo",2019,"1969-12-31",152,87,53,-3,33,71,182,24,9,85,"brazil"
"306","Liberdade Provisória","Henrique & Juliano","sertanejo universitario",2019,"1969-12-31",108,68,67,-6,92,70,188,63,5,84,"brazil"
"307","Some que ele vem atrás","Anitta","baile pop",2019,"1969-12-31",180,80,65,-6,38,60,195,7,17,84,"brazil"
"308","Hit Contagiante","Felipe Original","brega funk",2019,"1969-12-31",170,68,82,-7,9,96,137,13,12,84,"brazil"
"309","Gaiola É o Troco","MC Du Black","funk carioca",2019,"1969-12-31",150,84,72,-3,11,85,187,42,8,84,"brazil"
"310","SENTADÃO","Pedro Sampaio","baile pop",2019,"1969-12-31",174,87,68,-2,22,92,143,18,6,83,"brazil"
"311","Tijolão - Ao Vivo","Jorge & Mateus","sertanejo",2019,"1969-12-31",119,88,64,-4,34,69,175,47,20,83,"brazil"
"312","Ferida Curada","Zé Neto & Cristiano","sertanejo universitario",2019,"1969-12-31",146,85,49,-3,21,55,159,49,10,83,"brazil"
"313","Chama Ela (feat. Pedro Sampaio)","Lexa","baile pop",2019,"1969-12-31",150,84,89,-2,6,96,120,46,15,83,"brazil"
"314","3 Batidas - Ao Vivo","Guilherme & Benuto","sertanejo pop",2019,"1969-12-31",118,71,55,-5,76,53,157,61,13,82,"brazil"
"315","Quarta Cadeira - Ao Vivo","Matheus & Kauan","pop nacional",2019,"1969-12-31",76,82,56,-5,62,60,224,59,24,82,"brazil"
"316","Contatinho - Ao Vivo Em São Paulo / 2019","Leo Santana","axe",2019,"1969-12-31",152,93,79,-5,95,81,173,22,8,82,"brazil"
"317","Invocada (Participação especial de Léo Santana) - Ao vivo","Ludmilla","baile pop",2019,"1969-12-31",135,86,78,-4,93,70,157,48,5,82,"brazil"
"318","Sentou e Gostou","MC JottaPê","funk carioca",2019,"1969-12-31",131,67,70,-3,9,72,163,26,40,82,"brazil"
"319","Quando a vontade bater (Participação especial de PK Delas)","Pk","brazilian edm",2019,"1969-12-31",150,70,62,-6,15,70,166,54,25,82,"brazil"
"320","menina solta","Giulia Be","pop nacional",2019,"1969-12-31",92,56,63,-7,16,67,150,33,8,82,"brazil"
"321","Lençol Dobrado","João Gustavo e Murilo","funk carioca",2018,"1969-12-31",125,66,71,-5,33,67,179,36,4,81,"brazil"
"322","Bebi Liguei - Ao Vivo","Marília Mendonça","sertanejo",2019,"1969-12-31",154,80,60,-4,74,68,160,36,20,81,"brazil"
"323","S de Saudade","Luíza & Maurílio","sertanejo pop",2019,"1969-12-31",124,71,71,-4,13,79,175,62,5,81,"brazil"
"324","Serenata - Ao Vivo","Marília Mendonça","sertanejo",2019,"1969-12-31",132,71,71,-6,97,74,156,10,9,81,"brazil"
"325","Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça","sertanejo",2019,"1969-12-31",111,74,62,-4,41,58,155,28,7,81,"brazil"
"326","Verdinha","Ludmilla","baile pop",2019,"1969-12-31",138,95,85,-4,12,63,160,35,12,81,"brazil"
"327","choque térmico - ao vivo","Luan Santana","funk carioca",2019,"1969-12-31",127,76,74,-6,83,73,180,34,4,81,"brazil"
"328","Ela Vem","MC G15","brega funk",2019,"1969-12-31",185,63,62,-7,7,59,197,62,55,81,"brazil"
"329","A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília","Diego & Victor Hugo","sertanejo pop",2019,"1969-12-31",119,88,54,-3,93,63,183,72,10,80,"brazil"
"330","Para, Pensa e Volta - Ao Vivo","Yasmin Santos","sertanejo pop",2019,"1969-12-31",112,79,61,-3,24,57,174,25,4,80,"brazil"
"331","Algo Mais (Amante) - Ao Vivo","Xand Avião","funk carioca",2019,"1969-12-31",140,84,70,-3,75,67,232,28,6,80,"brazil"
"332","Espaçosa Demais - Ao Vivo","Felipe Araújo","funk carioca",2018,"1969-12-31",160,89,68,-4,23,71,179,38,8,80,"brazil"
"333","Vou Ter Que Superar - Ao Vivo","Matheus & Kauan","pop nacional",2019,"1969-12-31",106,72,51,-6,87,42,189,77,6,80,"brazil"
"334","To Voando Alto","Mc Poze do Rodo","funk carioca",2019,"1969-12-31",145,68,89,-3,8,80,137,31,17,80,"brazil"
"335","Aí Eu Bebo - Ao Vivo","Maiara & Maraisa","sertanejo universitario",2019,"1969-12-31",136,68,83,-5,41,85,174,48,7,79,"brazil"
"336","Com ou Sem Mim (Ao Vivo em Fortaleza)","Gustavo Mioto","sertanejo",2019,"1969-12-31",142,72,61,-4,96,30,202,16,5,79,"brazil"
"337","Se Prepara 2","Mc Livinho","funk carioca",2019,"1969-12-31",130,45,65,-9,11,36,147,11,52,79,"brazil"
"338","A Gente Fez Amor - Ao Vivo","Gusttavo Lima","sertanejo universitario",2019,"1969-12-31",134,94,79,-2,96,83,238,37,3,78,"brazil"
"339","Relógio Parado (Ao Vivo)","Diego & Arnaldo","sertanejo",2019,"1969-12-31",125,94,74,-1,97,73,181,5,5,78,"brazil"
"340","Solteiro Não Trai - Ao Vivo","Gustavo Mioto","sertanejo",2018,"1969-12-31",158,83,49,-3,96,60,187,48,20,78,"brazil"
"341","Fingindo Maturidade - Ao Vivo","Mano Walter","forro",2019,"1969-12-31",166,92,58,-3,94,74,189,29,10,77,"brazil"
"342","Áudio - Ao Vivo em Brasília","Diego & Victor Hugo","sertanejo pop",2019,"1969-12-31",110,81,61,-5,42,45,190,52,4,77,"brazil"
"343","Dois Lados","Wesley Safadão","forro",2019,"1969-12-31",160,85,66,-4,10,93,147,42,5,77,"brazil"
"344","Mil Anos - Recorded At Mosh Studios, São Paulo","Jorge & Mateus","sertanejo",2019,"1969-12-31",135,70,62,-8,8,45,189,29,7,74,"brazil"
"345","quando a bad bater - ao vivo","Luan Santana","funk carioca",2019,"1969-12-31",128,79,65,-5,53,53,180,30,4,71,"brazil"
"346","Fake News - Ao Vivo","Gustavo Mioto","sertanejo",2019,"1969-12-31",114,64,80,-3,97,73,175,47,5,70,"brazil"
"347","Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano","sertanejo universitario",2019,"1969-12-31",196,90,39,-4,91,47,182,45,41,68,"brazil"
"348","Carreira Solo - Ao Vivo","Gusttavo Lima","sertanejo universitario",2019,"1969-12-31",127,93,81,-1,87,92,216,41,4,67,"brazil"
"349","Quem Traiu Levou - Ao Vivo","Gusttavo Lima","sertanejo universitario",2019,"1969-12-31",174,96,59,-2,32,83,154,32,8,66,"brazil"
"350","Tiro Certo - Ao Vivo","Zé Felipe","funk carioca",2019,"1969-12-31",130,91,71,-5,71,69,179,56,7,65,"brazil"
"351","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"canada"
"352","ROXANNE","Arizona Zervas","pop rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"canada"
"353","All I Want for Christmas Is You","Mariah Carey","dance pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"canada"
"354","Santa Tell Me","Ariana Grande","dance pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"canada"
"355","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",1964,"1969-12-31",67,47,59,-9,51,90,126,61,5,93,"canada"
"356","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",1963,"1969-12-31",202,60,24,-8,12,78,152,77,4,92,"canada"
"357","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"canada"
"358","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"canada"
"359","Mistletoe","Justin Bieber","canadian pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"canada"
"360","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",1994,"1969-12-31",142,26,65,-13,36,84,155,90,6,91,"canada"
"361","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"canada"
"362","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",1962,"1969-12-31",79,21,32,-15,14,21,192,92,3,89,"canada"
"363","White Christmas","Bing Crosby","adult standards",1942,"1969-12-31",131,16,32,-16,34,25,177,67,4,89,"canada"
"364","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",1959,"1969-12-31",134,24,45,-14,18,70,117,91,4,89,"canada"
"365","Have Yourself A Merry Little Christmas","Sam Smith","pop",2014,"1969-12-31",75,18,44,-9,32,34,171,96,4,89,"canada"
"366","The Box","Roddy Ricch","melodic rap",2019,"1969-12-31",117,59,90,-7,79,64,197,10,6,89,"canada"
"367","Underneath the Tree","Kelly Clarkson","dance pop",2013,"1969-12-31",160,81,51,-5,21,69,230,0,5,88,"canada"
"368","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",1983,"1969-12-31",129,84,67,-4,11,84,126,61,3,88,"canada"
"369","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",1999,"1969-12-31",113,28,73,-12,12,72,156,76,6,88,"canada"
"370","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",1994,"1969-12-31",127,78,57,-7,11,70,153,2,3,88,"canada"
"371","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,2004,"1969-12-31",115,64,60,-7,10,35,223,16,4,87,"canada"
"372","Blue Christmas","Elvis Presley","adult standards",1957,"1969-12-31",95,27,47,-17,14,58,129,90,4,87,"canada"
"373","Run Rudolph Run - Single Version","Chuck Berry","blues rock",1986,"1969-12-31",152,72,68,-11,8,96,166,81,9,87,"canada"
"374","Santa Baby","Ariana Grande","dance pop",2013,"1969-12-31",96,78,75,-6,28,77,171,5,14,87,"canada"
"375","Like It's Christmas","Jonas Brothers","boy band",2019,"1969-12-31",146,57,73,-6,5,61,201,2,10,87,"canada"
"376","Step Into Christmas","Elton John","glam rock",1973,"1969-12-31",140,93,53,-6,31,82,272,10,4,87,"canada"
"377","Christmas Lights","Coldplay","permanent wave",2010,"1969-12-31",131,42,31,-9,8,24,242,13,3,87,"canada"
"378","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",1988,"1969-12-31",119,65,32,-6,24,47,272,50,3,86,"canada"
"379","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",1981,"1969-12-31",140,67,36,-8,73,41,268,36,5,86,"canada"
"380","Last Christmas","Wham!","new wave pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"canada"
"381","Feliz Navidad","José Feliciano","latin pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"canada"
"382","Santa Claus Is Coming To Town","The Jackson 5","adult standards",1970,"1969-12-31",147,76,69,-5,18,96,144,42,3,85,"canada"
"383","Winter Wonderland","Tony Bennett","adult standards",1968,"1969-12-31",115,37,45,-14,8,63,134,83,4,85,"canada"
"384","Baby, It's Cold Outside","Brett Eldredge","contemporary country",2016,"1969-12-31",114,57,58,-5,27,68,174,74,4,85,"canada"
"385","It's Beginning to Look a Lot like Christmas","Michael Bublé","adult standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"canada"
"386","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",1970,"1969-12-31",129,71,58,-8,82,61,181,26,5,84,"canada"
"387","Joy To The World","Nat King Cole","adult standards",1962,"1969-12-31",102,34,55,-10,11,66,85,82,3,84,"canada"
"388","Do You Hear What I Hear? - Remastered 2006","Bing Crosby","adult standards",2006,"1969-12-31",102,25,57,-15,20,41,166,81,3,84,"canada"
"389","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",1998,"1969-12-31",140,37,67,-13,10,86,133,59,3,83,"canada"
"390","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",1987,"1969-12-31",180,58,51,-11,18,87,242,36,4,83,"canada"
"391","Holly Jolly Christmas","Michael Bublé","adult standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"canada"
"392","Christmas (Baby Please Come Home)","Darlene Love","adult standards",2019,"1969-12-31",126,76,34,-7,8,36,166,39,5,82,"canada"
"393","Mistletoe And Holly - Remastered 1999","Frank Sinatra","adult standards",1957,"1969-12-31",110,10,61,-14,8,34,136,80,4,81,"canada"
"394","What Christmas Means To Me","Stevie Wonder","adult standards",1967,"1969-12-31",167,54,48,-10,8,82,147,24,4,80,"canada"
"395","Baby, It's Cold Outside","Dean Martin","adult standards",1959,"1969-12-31",130,20,47,-16,5,54,144,88,6,79,"canada"
"396","I'll Be Home for Christmas","Michael Bublé","adult standards",2011,"1969-12-31",82,11,25,-14,16,15,268,94,3,78,"canada"
"397","Sleigh Ride","The Ronettes","adult standards",2019,"1969-12-31",92,77,53,-7,32,85,181,40,3,77,"canada"
"398","Santa Claus Is Coming to Town","Michael Bublé","adult standards",2011,"1969-12-31",123,40,59,-7,4,42,172,79,5,75,"canada"
"399","Jingle Bells (feat. The Puppini Sisters)","Michael Bublé","adult standards",2011,"1969-12-31",123,58,71,-6,14,83,162,70,6,75,"canada"
"400","Merry Christmas Everyone","Shakin' Stevens","new wave pop",1997,"1969-12-31",102,71,76,-10,8,96,224,16,3,69,"canada"
"401","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"germany"
"402","ROXANNE","Arizona Zervas","pop rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"germany"
"403","All I Want for Christmas Is You","Mariah Carey","dance pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"germany"
"404","Falling","Trevor Daniel","alternative r&b",2018,"1969-12-31",127,43,78,-9,9,24,159,12,4,97,"germany"
"405","Blinding Lights","The Weeknd","canadian contemporary r&b",2019,"1969-12-31",171,80,51,-4,9,35,202,0,6,96,"germany"
"406","Santa Tell Me","Ariana Grande","dance pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"germany"
"407","Ride It","Regard","pop edm",2019,"1969-12-31",118,75,88,-4,11,88,158,18,9,95,"germany"
"408","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"germany"
"409","Mistletoe","Justin Bieber","canadian pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"germany"
"410","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"germany"
"411","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",1963,"1969-12-31",202,60,24,-8,12,78,152,77,4,92,"germany"
"412","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"germany"
"413","Ayy Macarena","Tyga","pop rap",2019,"1969-12-31",96,63,82,-6,7,72,132,13,23,90,"germany"
"414","Have Yourself A Merry Little Christmas","Sam Smith","pop",2014,"1969-12-31",75,18,44,-9,32,34,171,96,4,89,"germany"
"415","Underneath the Tree","Kelly Clarkson","dance pop",2013,"1969-12-31",160,81,51,-5,21,69,230,0,5,88,"germany"
"416","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",1983,"1969-12-31",129,84,67,-4,11,84,126,61,3,88,"germany"
"417","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,2004,"1969-12-31",115,64,60,-7,10,35,223,16,4,87,"germany"
"418","Christmas Lights","Coldplay","permanent wave",2010,"1969-12-31",131,42,31,-9,8,24,242,13,3,87,"germany"
"419","Step Into Christmas","Elton John","glam rock",1973,"1969-12-31",140,93,53,-6,31,82,272,10,4,87,"germany"
"420","Last Christmas","Wham!","new wave pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"germany"
